Alimentos de origen animal,,,,
Alimentos,kcal,Proteínas,Carbohidratos,Grasas
Atún,192,31,0,7
Mejillones,171,24,7,4
Camarón,113,27,0,1
Pulpo,164,30,4,2
Pescado,155,26,0,5
Filete de cerdo,120,20,2,4
Lomo de cerdo,176,30,0,5
Bistec de res,105,21,2,2
Falda de res,220,28,0,11
Lengua de res,299,20,5,21
Molida de res,244,16,0,20
Pavo,152,31,0,3
Pollo,160,30,0,3
Huevo,143,13,1,10
Yema de huevo,322,16,4,27
Claras de huevo,52,11,1,0
Queso panela,258,16,2,21
Queso fresco,310,20,3,24
Queso cottage,98,11,3,4
Queso oaxaca,356,7,1,8
Queso manchego,408,26,0,34
Queso amaricano,375,18,6,31
Queso de cabara,360,24,1,29
Jamon de pavo,143,20,3,4
Salami,336,22,2,26
Salchicha,269,13,0,24
,,,,
Cereales,,,,
Amaranto,23,2,4,0
Arroz integral,123,3,26,1
Arozz blanco,130,3,28,0
Avena,190,7,34,3
Bagel,250,10,49,2
Baguette,280,8,48,6
Bolillo,272,11,52,2
Pan hamburguesa,282,10,51,4
Camote ,76,1,18,0
Cereal ,357,8,84,0
Crutones,407,12,74,7
Elote,104,3,28,1
Espaguetti,345,11,73,1
Galleta María ,391,6,72,9
Galleta salmas,400,17,83,0
Granola,408,9,72,11
Hot cakes,233,5,38,7
Medias noches,261,8,50,3
Palomitas naturales,403,10,53,17
Pan de caja,258,9,42,6
Papa,87,2,20,0
Pasta,158,6,31,1
Tortilla de maíz,218,6,45,3
Tortilla de harina,291,8,48,7
,,,,
Frutas,,,,
Arandanos,57,1,14,0
Blueberries,57,1,12,0
Cereza,63,1,16,0
Ciruela,46,1,11,0
Durazno,39,1,10,0
Frambuesa,52,1,12,1
Fresa,32,1,8,0
Granada,83,2,19,1
Guayaba,68,3,14,1
Higo,74,1,19,0
Kiwi,61,1,15,1
Lichis,66,1,17,0
Mamey,124,1,32,0
Mandarina,53,1,13,0
Mango ,60,1,15,0
Manzana,52,0,14,0
Melón,34,1,8,0
Moras,43,1,10,0
Naranja,46,1,12,0
Toronja,42,1,11,0
Papaya,43,0,11,0
Pasas,299,3,79,0
Pera,57,0,15,0
Piña,50,1,13,0
Plátano,89,1,23,0
Plátano macho,122,1,32,0
Sandía,30,1,8,0
Tuna,41,1,10,1
Uva,69,1,18,0
,,,,
Verduras,,,,
Acelga,19,2,4,0
Apio,14,1,3,0
Berenjena ,25,1,6,0
Brocoli,34,3,7,0
Calabacita,17,1,3,0
Cebolla blanca,40,1,9,0
Cebolla morada,40,1,10,0
Champiñones,22,3,3,0
Chayote,19,1,5,0
Chicharo,84,5,16,0
Chile poblano,48,2,9,1
Col,31,1,7,0
Coliflor,25,2,5,0
Hongo portobello,26,3,5,0
Ejotes,35,2,8,0
Esparragos,20,2,4,0
Espinacas,23,3,4,0
Huitlacoche,40,3,8,0
Jicama,38,1,9,0
Jitomate,18,1,4,0
Tomate verde,23,1,5,0
Nopal,16,1,3,0
Pepino ,10,1,2,0
Pimiento ,22,1,5,0
Verdolaga,20,2,3,0
Zanahoria,41,1,10,0
,,,,
Leguminosas,,,,
Alubia,138,9,25,1
Frijol,138,9,25,1
Garbanzo,164,9,27,3
Habas,88,8,14,0
Lentejas,116,9,20,0
Soya,172,18,8,9
,,,,
Grasas con proteína,,,,
Ajonjoli,574,18,23,50
Almendras,579,21,22,50
Avellanas,628,15,17,61
Cacahuate,567,26,16,49
Crema de cacahuate,700,23,17,60
Chía,486,17,42,31
Nuez,654,15,14,65
Pistaches,580,20,13,50
Pepita,598,30,7,50
Semilla de girasol,584,21,20,51
Piñón,673,14,13,68
,,,,
Grasas,,,,
Aceite,884,0,0,100
Aceitunas,116,1,6,11
Aguacate,160,2,9,15
Crema,249,2,4,25
Mantequilla,717,1,0,81
Margarina,717,0,1,81
Queso crema,350,6,6,34
Tocino,437,15,0,41
,,,,
Azúcar,,,,
Azúcar,387,0,100,0
Cajeta,357,8,63,8
Gelatina,62,1,14,0
Mermelada,245,0,69,0
Miel,304,0,82,0
Catsup,88,1,21,0
