Alimentos,kcal,Proteinas,Carbohidratos,Grasas
Atun,192,31,0,7
Mejillones,171,24,7,4
Camaron,113,27,0,1
Pulpo,164,30,4,2
Pescado,155,26,0,5
Filete de cerdo,120,20,2,4
Lomo de cerdo,176,30,0,5
Bistec de res,105,21,2,2
Falda de res,220,28,0,11
Lengua de res,299,20,5,21
Molida de res,244,16,0,20
Pavo,152,31,0,3
Pollo,160,30,0,3
Huevo,143,13,1,10
Yema de huevo,322,16,4,27
Claras de huevo,52,11,1,0
Queso panela,258,16,2,21
Queso fresco,310,20,3,24
Queso cottage,98,11,3,4
Queso oaxaca,356,7,1,8
Queso manchego,408,26,0,34
Queso amaricano,375,18,6,31
Queso de cabara,360,24,1,29
Jamon de pavo,143,20,3,4
Salami,336,22,2,26
Salchicha,269,13,0,24
Nada,0,0,0,0
