Alimentos,kcal,Proteinas,Carbohidratos,Grasas
Amaranto,23,2,4,0
Arroz integral,123,3,26,1
Arozz blanco,130,3,28,0
Avena,190,7,34,3
Bagel,250,10,49,2
Baguette,280,8,48,6
Bolillo,272,11,52,2
Pan hamburguesa,282,10,51,4
Camote ,76,1,18,0
Cereal ,357,8,84,0
Crutones,407,12,74,7
Elote,104,3,28,1
Espaguetti,345,11,73,1
Galleta Maria ,391,6,72,9
Galleta salmas,400,17,83,0
Granola,408,9,72,11
Hot cakes,233,5,38,7
Medias noches,261,8,50,3
Palomitas naturales,403,10,53,17
Pan de caja,258,9,42,6
Papa,87,2,20,0
Pasta,158,6,31,1
Tortilla de maiz,218,6,45,3
Tortilla de harina,291,8,48,7
Nada,0,0,0,0
